     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1347.18	  -540.41	    -0.02	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    21.26	 -1345.77	  -541.80	     0.00	    21.26	     1.41	    -1.39	     0.02	     1.98	    93.13	     0.94
   100.87	 -1345.77	  -541.79	     0.00	    79.61	     0.00	     0.01	     0.00	     0.01	     0.13	     0.00
   120.90	 -1342.98	  -542.46	     0.06	    20.03	     2.79	    -0.67	     0.06	     2.87	   143.25	     3.00
   204.44	 -1330.47	  -541.57	     0.03	    83.54	    12.51	     0.89	    -0.03	    12.54	   150.13	    -0.36
   224.82	 -1324.93	  -540.08	     0.03	    20.38	     5.54	     1.49	     0.00	     5.74	   281.50	     0.00
   244.85	 -1319.34	  -541.41	     0.05	    20.03	     5.59	    -1.33	     0.02	     5.75	   286.87	     1.00
   280.39	 -1312.32	  -545.54	     0.12	    35.54	     7.02	    -4.13	     0.07	     8.14	   229.17	     1.97
   322.37	 -1304.77	  -539.79	     0.03	    41.98	     7.55	     5.75	    -0.09	     9.49	   226.07	    -2.14
   360.04	 -1288.78	  -539.56	     0.05	    37.67	    15.99	     0.23	     0.02	    15.99	   424.52	     0.53
   540.22	 -1221.42	  -536.47	     0.08	   180.18	    67.36	     3.09	     0.03	    67.43	   374.24	     0.17
   580.00	 -1215.76	  -542.03	     0.16	    39.78	     5.66	    -5.56	     0.08	     7.93	   199.45	     2.01
   600.87	 -1188.79	  -534.59	     0.11	    20.87	    26.97	     7.44	    -0.05	    27.98	  1340.56	    -2.40
   681.14	 -1166.49	  -538.49	     0.23	    80.27	    22.30	    -3.90	     0.12	    22.64	   282.03	     1.49
   761.54	 -1134.03	  -527.44	     0.07	    80.40	    32.46	    11.05	    -0.16	    34.29	   426.48	    -1.99
   885.45	 -1066.70	  -522.93	     0.16	   123.91	    67.33	     4.51	     0.09	    67.48	   544.60	     0.73
   920.63	 -1055.51	  -526.99	     0.22	    35.18	    11.19	    -4.06	     0.06	    11.90	   338.37	     1.71
   941.68	 -1042.40	  -521.86	     0.19	    21.05	    13.11	     5.13	    -0.03	    14.08	   668.79	    -1.43
   961.24	 -1033.37	  -521.02	     0.21	    19.56	     9.03	     0.84	     0.02	     9.07	   463.65	     1.02
   981.74	 -1019.52	  -518.00	     0.21	    20.50	    13.85	     3.02	     0.00	    14.18	   691.48	     0.00
  1021.25	 -1009.07	  -519.25	     0.22	    39.51	    10.45	    -1.25	     0.01	    10.52	   266.38	     0.25
  1041.54	  -995.21	  -516.23	     0.22	    20.29	    13.86	     3.02	     0.00	    14.19	   699.12	     0.00
  1061.68	  -984.85	  -511.84	     0.21	    20.14	    10.36	     4.39	    -0.01	    11.25	   558.68	    -0.50
  1081.94	  -974.41	  -512.39	     0.18	    20.26	    10.44	    -0.55	    -0.03	    10.45	   516.02	    -1.48
  1142.63	  -950.04	  -513.44	     0.27	    60.69	    24.37	    -1.05	     0.09	    24.39	   401.92	     1.48
  1162.65	  -936.96	  -504.77	     0.15	    20.02	    13.08	     8.67	    -0.12	    15.69	   783.84	    -5.99
  1201.24	  -926.46	  -508.14	     0.24	    38.59	    10.50	    -3.37	     0.09	    11.03	   285.76	     2.33
  1221.28	  -913.95	  -506.54	     0.27	    20.04	    12.51	     1.60	     0.03	    12.61	   629.34	     1.50
  1241.60	  -902.93	  -499.32	     0.18	    20.32	    11.02	     7.22	    -0.09	    13.17	   648.35	    -4.43
  1262.73	  -891.12	  -497.72	     0.20	    21.13	    11.81	     1.60	     0.02	    11.92	   564.03	     0.95
  1301.04	  -880.00	  -496.14	     0.17	    38.31	    11.12	     1.58	    -0.03	    11.23	   293.18	    -0.78
  1321.25	  -868.15	  -495.96	     0.25	    20.21	    11.85	     0.18	     0.08	    11.85	   586.41	     3.96
  1341.82	  -854.85	  -498.59	     0.29	    20.57	    13.30	    -2.63	     0.04	    13.56	   659.09	     1.94
  1363.31	  -843.70	  -498.42	     0.30	    21.49	    11.15	     0.17	     0.01	    11.15	   518.91	     0.47
  1422.78	  -820.13	  -489.58	     0.25	    59.47	    23.57	     8.84	    -0.05	    25.17	   423.29	    -0.84
  1442.87	  -809.75	  -484.47	     0.21	    20.09	    10.38	     5.11	    -0.04	    11.57	   575.89	    -1.99
  1481.55	  -798.50	  -488.54	     0.33	    38.68	    11.25	    -4.07	     0.12	    11.96	   309.30	     3.10
  1501.99	  -787.34	  -487.66	     0.32	    20.44	    11.16	     0.88	    -0.01	    11.19	   547.68	    -0.49
  1544.47	  -770.62	  -484.57	     0.34	    42.48	    16.72	     3.09	     0.02	    17.00	   400.26	     0.47
  1581.44	  -763.79	  -475.27	     0.21	    36.97	     6.83	     9.30	    -0.13	    11.54	   312.11	    -3.52
  1601.50	  -755.31	  -480.09	     0.31	    20.06	     8.48	    -4.82	     0.10	     9.75	   486.25	     4.99
  1622.17	  -748.40	  -475.73	     0.26	    20.67	     6.91	     4.36	    -0.05	     8.17	   395.28	    -2.42
  1643.08	  -742.89	  -470.69	     0.24	    20.91	     5.51	     5.04	    -0.02	     7.47	   357.12	    -0.96
  1681.57	  -734.43	  -474.10	     0.30	    38.49	     8.46	    -3.41	     0.06	     9.12	   236.98	     1.56
  1702.53	  -730.31	  -469.79	     0.26	    20.96	     4.12	     4.31	    -0.04	     5.96	   284.47	    -1.91
  1722.55	  -724.06	  -466.86	     0.20	    20.02	     6.25	     2.93	    -0.06	     6.90	   344.79	    -3.00
  1761.31	  -719.13	  -468.20	     0.24	    38.76	     4.93	    -1.34	     0.04	     5.11	   131.81	     1.03
  1802.98	  -710.79	  -464.52	     0.24	    41.67	     8.34	     3.68	     0.00	     9.12	   218.76	     0.00
  1823.10	  -706.59	  -464.46	     0.24	    20.12	     4.20	     0.06	     0.00	     4.20	   208.77	     0.00
  1861.77	  -702.37	  -465.10	     0.29	    38.67	     4.22	    -0.64	     0.05	     4.27	   110.38	     1.29
  1882.44	  -697.37	  -470.68	     0.39	    20.67	     5.00	    -5.58	     0.10	     7.49	   362.48	     4.84
  1903.28	  -696.81	  -462.88	     0.26	    20.84	     0.56	     7.80	    -0.13	     7.82	   375.24	    -6.24
  1923.23	  -695.39	  -463.57	     0.26	    19.95	     1.42	    -0.69	     0.00	     1.58	    79.14	     0.00
  1962.50	  -692.64	  -460.69	     0.23	    39.27	     2.75	     2.88	    -0.03	     3.98	   101.40	    -0.76
  1983.12	  -689.73	  -466.31	     0.31	    20.62	     2.91	    -5.62	     0.08	     6.33	   306.92	     3.88
  2003.22	  -688.46	  -459.21	     0.23	    20.10	     1.27	     7.10	    -0.08	     7.21	   358.84	    -3.98
  2041.94	  -686.23	  -466.26	     0.37	    38.72	     2.23	    -7.05	     0.14	     7.39	  -190.97	     3.62
  2061.96	  -686.31	  -462.01	     0.28	    20.02	    -0.08	     4.25	    -0.09	     4.25	   212.33	    -4.50
  2083.83	  -685.63	  -460.58	     0.26	    21.87	     0.68	     1.43	    -0.02	     1.58	    72.40	    -0.91
  2103.72	  -684.23	  -460.56	     0.25	    19.89	     1.40	     0.02	    -0.01	     1.40	    70.39	    -0.50
