     Time	    Pos x	    Pos y	    Angle	Diff Time	Diff Posx	Diff Posy	Diff Angl	Diff Leng	Rel Speed	Rel AnSpd	
     0.00	 -1109.09	  -818.94	     0.79	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00
    59.95	 -1373.01	  -451.24	     2.30	    59.95	  -263.92	   367.70	     1.51	   452.61	  7549.13	    25.17
    80.07	 -1348.57	  -540.43	     0.06	    20.11	    24.43	   -89.18	    -2.23	    92.47	  4597.29	  -111.04
   120.75	 -1318.43	  -555.50	     2.13	    40.69	    30.15	   -15.08	     2.07	    33.71	  -828.48	    50.94
   180.12	 -1341.40	  -429.64	    -1.63	    59.37	   -22.98	   125.86	    -3.77	   127.94	 -2154.87	   -63.42
   200.53	 -1378.98	  -511.25	     0.90	    20.41	   -37.58	   -81.61	     2.53	    89.84	 -4402.18	   124.12
   220.65	 -1372.06	  -509.04	     0.92	    20.12	     6.92	     2.21	     0.01	     7.27	   361.30	     0.67
   261.02	 -1376.90	  -511.22	     0.95	    40.36	    -4.84	    -2.18	     0.03	     5.31	  -131.50	     0.81
   280.61	 -1374.82	  -510.49	     0.89	    19.59	     2.08	     0.73	    -0.06	     2.20	   112.46	    -3.14
   301.62	 -1374.16	  -508.36	     0.86	    21.01	     0.66	     2.12	    -0.02	     2.22	   105.89	    -1.19
   340.99	 -1387.98	  -514.90	     0.90	    39.37	   -13.82	    -6.54	     0.04	    15.29	  -388.31	     0.97
   360.64	 -1373.44	  -509.76	     0.87	    19.65	    14.54	     5.14	    -0.03	    15.42	   784.50	    -1.41
   380.63	 -1339.32	  -429.61	    -1.65	    19.99	    34.12	    80.15	    -2.52	    87.11	 -4357.82	  -125.99
   500.98	 -1318.43	  -555.50	     2.18	   120.34	    20.89	  -125.89	     3.83	   127.61	 -1060.36	    31.81
   522.02	 -1319.86	  -552.70	     2.23	    21.04	    -1.44	     2.80	     0.05	     3.15	   149.52	     2.33
   561.87	 -1317.03	  -556.19	     2.18	    39.85	     2.84	    -3.48	    -0.05	     4.49	  -112.75	    -1.17
   641.79	 -1317.75	  -554.08	     2.12	    79.92	    -0.73	     2.10	    -0.07	     2.23	    27.87	    -0.86
   823.77	 -1318.45	  -554.09	     2.22	   181.98	    -0.69	    -0.01	     0.11	     0.70	    -3.82	     0.60
  1084.77	 -1317.03	  -556.19	     2.24	   261.01	     1.42	    -2.09	     0.02	     2.53	    -9.70	     0.06
  1485.83	 -1318.45	  -554.09	     2.19	   401.06	    -1.42	     2.09	    -0.05	     2.53	     6.32	    -0.13
  1804.58	 -1275.22	  -561.22	     2.15	   318.74	    43.23	    -7.13	    -0.04	    43.81	  -137.45	    -0.13
  2327.55	 -1237.13	  -429.55	    -1.02	   522.97	    38.10	   131.67	    -3.16	   137.07	  -262.09	    -6.05
  2465.86	 -1089.62	  -605.81	     2.28	   138.31	   147.51	  -176.25	     3.29	   229.84	 -1661.74	    23.81
  2487.70	 -1080.52	  -609.21	     2.20	    21.84	     9.09	    -3.40	    -0.08	     9.71	  -444.57	    -3.50
  2507.21	 -1072.85	  -610.51	     2.28	    19.51	     7.67	    -1.30	     0.08	     7.78	  -398.68	     4.02
  2625.81	 -1057.19	  -632.18	    -0.45	   118.60	    15.66	   -21.67	    -2.73	    26.74	   225.43	   -23.02
  2646.29	 -1051.56	  -636.34	    -0.46	    20.48	     5.63	    -4.16	    -0.01	     7.00	   341.85	    -0.51
  2666.40	 -1047.36	  -637.69	    -0.43	    20.11	     4.20	    -1.35	     0.03	     4.41	   219.30	     1.48
  2686.25	 -1041.77	  -639.03	    -0.51	    19.86	     5.59	    -1.33	    -0.08	     5.74	   289.26	    -4.12
  2725.95	 -1036.85	  -642.49	    -0.59	    39.69	     4.93	    -3.46	    -0.08	     6.02	   151.74	    -1.91
  2786.78	 -1023.52	  -648.66	    -0.48	    60.83	    13.32	    -6.17	     0.11	    14.68	   241.38	     1.76
  2826.26	 -1021.40	  -650.75	    -0.46	    39.48	     2.12	    -2.09	     0.03	     2.98	    75.47	     0.65
  2846.91	 -1017.91	  -651.41	    -0.48	    20.65	     3.49	    -0.66	    -0.03	     3.55	   171.99	    -1.25
  2867.16	 -1015.09	  -653.49	    -0.53	    20.25	     2.82	    -2.08	    -0.05	     3.50	   173.00	    -2.23
  2968.02	 -1006.66	  -658.32	    -0.46	   100.85	     8.43	    -4.83	     0.07	     9.72	    96.37	     0.65
  3046.76	 -1003.86	  -658.99	    -0.46	    78.74	     2.80	    -0.67	     0.00	     2.87	    36.50	     0.00
  3127.18	 -1001.07	  -659.66	    -0.46	    80.43	     2.80	    -0.67	    -0.00	     2.87	    35.74	    -0.00
